contract_id,clause_text,clause_type,risk_label
C0210,The Term shall be for the life of copyright in the Recordings.,Term,risk
C0211,Advances of 5000 shall be non-recoupable.,Recoupment,no_risk
C0212,Rights shall revert to Artist if release does not occur within 12 months of delivery.,Reversion,no_risk
C0213,Artist shall receive a royalty of 25% of gross revenue.,Royalties,no_risk
C0214,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0215,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0216,The parties submit to the exclusive jurisdiction of the courts of South Africa.,Governing Law,no_risk
C0217,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0218,Artist shall not enter into agreements with third parties without prior written consent.,Exclusivity,no_risk
C0219,Rights shall revert to Artist if release does not occur within 12 months of delivery.,Reversion,no_risk
C0220,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0221,Rights are worldwide and exclusive.,Territory,risk
C0222,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0223,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0224,Advances of 2500 shall be non-recoupable.,Recoupment,no_risk
C0225,Artist shall receive a royalty of 20% of gross revenue.,Royalties,no_risk
C0226,No audit rights are granted under this Agreement.,Audit Rights,risk
C0227,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0228,Licensee is granted rights in Nigeria on a non-exclusive basis.,Territory,no_risk
C0229,Rights shall revert to Artist if release does not occur within 9 months of delivery.,Reversion,no_risk
C0230,No royalties are payable on promotional copies.,Royalties,no_risk
C0231,This Agreement shall be governed by the laws of Nigeria.,Governing Law,no_risk
C0232,Royalty rate on Net Receipts shall be 5% of net revenue.,Royalties,risk
C0233,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0234,Royalty rate on Net Receipts shall be 30% of net revenue.,Royalties,no_risk
C0235,This Agreement shall be governed by the laws of Kenya.,Governing Law,no_risk
C0236,Artist shall receive a royalty of 18% of gross revenue.,Royalties,risk
C0237,Artist shall have the right to audit Company's books upon 90-day notice.,Audit Rights,no_risk
C0238,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0239,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0240,Rights are worldwide and exclusive.,Territory,risk
C0241,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0242,Company may assign this Agreement without Artist's consent.,Assignment,risk
C0243,Rights are worldwide and exclusive.,Territory,risk
C0244,This Agreement shall be governed by the laws of Nigeria.,Governing Law,no_risk
C0245,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0246,Rights are worldwide and exclusive.,Territory,risk
C0247,Audit may occur once per calendar year with reasonable notice.,Audit Rights,no_risk
C0248,The parties submit to the exclusive jurisdiction of the courts of Nigeria.,Governing Law,no_risk
C0249,No reversion of rights is provided under this Agreement.,Reversion,risk
C0250,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0251,Licensee is granted rights in Worldwide on a non-exclusive basis.,Territory,no_risk
C0252,The parties submit to the exclusive jurisdiction of the courts of South Africa.,Governing Law,no_risk
C0253,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0254,Artist shall not enter into agreements with third parties without prior written consent.,Exclusivity,no_risk
C0255,No reversion of rights is provided under this Agreement.,Reversion,risk
C0256,No reversion of rights is provided under this Agreement.,Reversion,risk
C0257,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0258,Artist shall have the right to audit Company's books upon 10-day notice.,Audit Rights,no_risk
C0259,Advances of 1000 shall be non-recoupable.,Recoupment,no_risk
C0260,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0261,Artist shall have the right to audit Company's books upon 60-day notice.,Audit Rights,no_risk
C0262,Artist shall have the right to audit Company's books upon 60-day notice.,Audit Rights,no_risk
C0263,Artist shall receive a royalty of 18% of gross revenue.,Royalties,risk
C0264,No audit rights are granted under this Agreement.,Audit Rights,risk
C0265,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0266,Rights shall revert to Artist if release does not occur within 3 months of delivery.,Reversion,no_risk
C0267,No royalties are payable on promotional copies.,Royalties,no_risk
C0268,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0269,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0270,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0271,Licensee is granted rights in Africa on a non-exclusive basis.,Territory,no_risk
C0272,Company may assign this Agreement without Artist's consent.,Assignment,risk
C0273,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0274,No audit rights are granted under this Agreement.,Audit Rights,risk
C0275,No reversion of rights is provided under this Agreement.,Reversion,risk
C0276,No reversion of rights is provided under this Agreement.,Reversion,risk
C0277,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0278,Advances of 1000 shall be non-recoupable.,Recoupment,no_risk
C0279,Rights are worldwide and exclusive.,Territory,risk
C0280,Artist shall have the right to audit Company's books upon 90-day notice.,Audit Rights,no_risk
C0281,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0282,No royalties are payable on promotional copies.,Royalties,no_risk
C0283,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0284,No reversion of rights is provided under this Agreement.,Reversion,risk
C0285,Artist shall receive a royalty of 15% of gross revenue.,Royalties,risk
C0286,Artist shall have the right to audit Company's books upon 30-day notice.,Audit Rights,no_risk
C0287,This Agreement shall last in perpetuity unless terminated by Company.,Term,risk
C0288,No reversion of rights is provided under this Agreement.,Reversion,risk
C0289,The parties submit to the exclusive jurisdiction of the courts of Nigeria.,Governing Law,no_risk
C0290,The initial term is 5 years with 3 options of 2 years each.,Term,no_risk
C0291,Artist shall have the right to audit Company's books upon 10-day notice.,Audit Rights,no_risk
C0292,Advances of 500 shall be non-recoupable.,Recoupment,no_risk
C0293,Licensee is granted rights in West Africa on a non-exclusive basis.,Territory,no_risk
C0294,Rights are worldwide and exclusive.,Territory,risk
C0295,This Agreement shall be governed by the laws of England and Wales.,Governing Law,no_risk
C0296,Artist shall not enter into agreements with third parties without prior written consent.,Exclusivity,no_risk
C0297,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0298,Rights are worldwide and exclusive.,Territory,risk
C0299,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0300,No reversion of rights is provided under this Agreement.,Reversion,risk
C0301,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0302,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0303,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0304,The Term shall continue for 2 years from the Effective Date.,Term,no_risk
C0305,This Agreement shall be governed by the laws of England and Wales.,Governing Law,no_risk
C0306,Royalty rate on Net Receipts shall be 35% of net revenue.,Royalties,no_risk
C0307,The Territory shall be Nigeria.,Territory,no_risk
C0308,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0309,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0310,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0311,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0312,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0313,This Agreement shall be governed by the laws of New York.,Governing Law,no_risk
C0314,This Agreement shall be governed by the laws of California.,Governing Law,no_risk
C0315,Rights are worldwide and exclusive.,Territory,risk
C0316,This Agreement shall be governed by the laws of New York.,Governing Law,no_risk
C0317,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0318,This Agreement shall last in perpetuity unless terminated by Company.,Term,risk
C0319,Licensee is granted rights in Worldwide excluding USA on a non-exclusive basis.,Territory,no_risk
C0320,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0321,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0322,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0323,Rights are worldwide and exclusive.,Territory,risk
C0324,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0325,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0326,The Term shall continue for 2 years from the Effective Date.,Term,no_risk
C0327,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0328,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0329,No reversion of rights is provided under this Agreement.,Reversion,risk
C0330,Artist shall not enter into agreements with third parties without prior written consent.,Exclusivity,no_risk
C0331,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0332,Licensee is granted rights in Worldwide on a non-exclusive basis.,Territory,no_risk
C0333,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0334,Audit may occur once per calendar year with reasonable notice.,Audit Rights,no_risk
C0335,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0336,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0337,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0338,Rights shall revert to Artist if release does not occur within 12 months of delivery.,Reversion,no_risk
C0339,Licensee is granted rights in Worldwide on a non-exclusive basis.,Territory,no_risk
C0340,Artist shall have the right to audit Company's books upon 60-day notice.,Audit Rights,no_risk
C0341,Rights shall revert to Artist if release does not occur within 18 months of delivery.,Reversion,no_risk
C0342,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0343,This Agreement shall last in perpetuity unless terminated by Company.,Term,risk
C0344,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0345,This Agreement shall last in perpetuity unless terminated by Company.,Term,risk
C0346,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0347,The Territory shall be Worldwide excluding USA.,Territory,risk
C0348,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0349,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0350,Rights shall revert to Artist if release does not occur within 18 months of delivery.,Reversion,no_risk
C0351,Company may assign this Agreement without Artist's consent.,Assignment,risk
C0352,Royalty rate on Net Receipts shall be 30% of net revenue.,Royalties,no_risk
C0353,Rights are worldwide and exclusive.,Territory,risk
C0354,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0355,No reversion of rights is provided under this Agreement.,Reversion,risk
C0356,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0357,Artist shall receive a royalty of 35% of gross revenue.,Royalties,no_risk
C0358,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0359,No royalties are payable on promotional copies.,Royalties,no_risk
C0360,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0361,Advances of 2500 shall be non-recoupable.,Recoupment,no_risk
C0362,No reversion of rights is provided under this Agreement.,Reversion,risk
C0363,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0364,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0365,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0366,No reversion of rights is provided under this Agreement.,Reversion,risk
C0367,Audit may occur once per calendar year with reasonable notice.,Audit Rights,no_risk
C0368,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0369,Artist shall have the right to audit Company's books upon 15-day notice.,Audit Rights,no_risk
C0370,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0371,Artist shall receive a royalty of 5% of gross revenue.,Royalties,risk
C0372,Audit may occur once per calendar year with reasonable notice.,Audit Rights,no_risk
C0373,Neither party may assign without prior written consent of the other party.,Assignment,no_risk
C0374,This Agreement shall be governed by the laws of California.,Governing Law,no_risk
C0375,This Agreement shall last in perpetuity unless terminated by Company.,Term,risk
C0376,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0377,No reversion of rights is provided under this Agreement.,Reversion,risk
C0378,This Agreement is non-exclusive and Artist may render services to others.,Exclusivity,no_risk
C0379,This Agreement shall be governed by the laws of Nigeria.,Governing Law,no_risk
C0380,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0381,Audit may occur once per calendar year with reasonable notice.,Audit Rights,no_risk
C0382,This Agreement shall be governed by the laws of New York.,Governing Law,no_risk
C0383,The parties submit to the exclusive jurisdiction of the courts of New York.,Governing Law,no_risk
C0384,The parties submit to the exclusive jurisdiction of the courts of Kenya.,Governing Law,no_risk
C0385,The Term shall continue for 2 years from the Effective Date.,Term,no_risk
C0386,Licensee is granted rights in Nigeria on a non-exclusive basis.,Territory,no_risk
C0387,This Agreement shall be governed by the laws of California.,Governing Law,no_risk
C0388,Artist shall not enter into agreements with third parties without prior written consent.,Exclusivity,no_risk
C0389,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0390,Artist shall have the right to audit Company's books upon 30-day notice.,Audit Rights,no_risk
C0391,No audit rights are granted under this Agreement.,Audit Rights,risk
C0392,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0393,No reversion of rights is provided under this Agreement.,Reversion,risk
C0394,This Agreement shall be governed by the laws of England and Wales.,Governing Law,no_risk
C0395,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0396,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0397,The parties agree to keep Confidential Information secret for {years} years.,Confidentiality,no_risk
C0398,Artist shall indemnify and hold Company harmless from all claims arising out of the Recordings.,Indemnity,risk
C0399,Artist shall receive a royalty of 50% of gross revenue.,Royalties,no_risk
C0400,Advances of 2500 shall be non-recoupable.,Recoupment,no_risk
C0401,This Agreement shall be governed by the laws of California.,Governing Law,no_risk
C0402,Recording costs are recoupable solely from Company's share.,Recoupment,no_risk
C0403,Artist agrees to provide services on an exclusive basis during the Term.,Exclusivity,risk
C0404,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0405,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0406,The parties submit to the exclusive jurisdiction of the courts of South Africa.,Governing Law,no_risk
C0407,Advances of 2500 shall be non-recoupable.,Recoupment,no_risk
C0408,Artist shall receive a royalty of 30% of gross revenue.,Royalties,no_risk
C0409,The Territory shall be West Africa.,Territory,no_risk
C0410,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0411,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0412,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0413,All Advances shall be fully recoupable from Artist's royalties.,Recoupment,risk
C0414,This Agreement shall be governed by the laws of Kenya.,Governing Law,no_risk
C0415,Each party agrees to indemnify the other for third-party claims caused by its breach.,Indemnity,no_risk
C0416,No royalties are payable on promotional copies.,Royalties,no_risk
C0417,No royalties are payable on promotional copies.,Royalties,no_risk
C0418,No confidentiality obligations apply after the Term.,Confidentiality,risk
C0419,This Agreement shall be governed by the laws of South Africa.,Governing Law,no_risk
C0420,Rights are worldwide and exclusive.,Territory,risk
